movieIDd,movie_name
1,Toy Story (1995)
2,Jumanji (1995)
3,Grumpier Old Men (1995)
4,Waiting to Exhale (1995)
5,Father of the Bride Part II (1995)
6,Heat (1995)
7,Sabrina (1995)
9,Sudden Death (1995)
10,GoldenEye (1995)
11,"American President, The (1995)"
12,Dracula Dead and Loving It (1995)
13,Balto (1995)
14,Nixon (1995)
15,Cutthroat Island (1995)
16,Casino (1995)
17,Sense and Sensibility (1995)
18,Four Rooms (1995)
19,Ace Ventura When Nature Calls (1995)
20,Money Train (1995)
21,Get Shorty (1995)
23,Assassins (1995)
25,Leaving Las Vegas (1995)
26,Othello (1995)
27,Now and Then (1995)
28,Persuasion (1995)
31,Dangerous Minds (1995)
34,Babe (1995)
36,Dead Man Walking (1995)
38,It Takes Two (1995)
39,Clueless (1995)
41,Richard III (1995)
43,Restoration (1995)
44,Mortal Kombat (1995)
45,To Die For (1995)
46,How to Make an American Quilt (1995)
48,Pocahontas (1995)
49,When Night Is Falling (1995)
52,Mighty Aphrodite (1995)
53,Lamerica (1994)
54,"Big Green, The (1995)"
55,Georgia (1995)
57,Home for the Holidays (1995)
60,"Indian in the Cupboard, The (1995)"
61,Eye for an Eye (1996)
62,Mr. Holland's Opus (1995)
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
65,Bio-Dome (1996)
66,Lawnmower Man 2 Beyond Cyberspace (1996)
69,Friday (1995)
71,Fair Game (1995)
72,Kicking and Screaming (1995)
74,Bed of Roses (1996)
76,Screamers (1995)
79,"Juror, The (1996)"
81,Things to Do in Denver When You're Dead (1995)
86,White Squall (1996)
87,Dunston Checks In (1996)
88,Black Sheep (1996)
89,Nick of Time (1995)
92,Mary Reilly (1996)
93,Vampire in Brooklyn (1995)
94,Beautiful Girls (1996)
95,Broken Arrow (1996)
96,In the Bleak Midwinter (1995)
99,Heidi Fleiss Hollywood Madam (1995)
100,City Hall (1996)
101,Bottle Rocket (1996)
102,Mr. Wrong (1996)
103,Unforgettable (1996)
104,Happy Gilmore (1996)
105,"Bridges of Madison County, The (1995)"
107,Muppet Treasure Island (1996)
110,Braveheart (1995)
111,Taxi Driver (1976)
113,Before and After (1996)
116,Anne Frank Remembered (1995)
117,"Young Poisoner's Handbook, The (1995)"
118,If Lucy Fell (1996)
121,"Boys of St. Vincent, The (1992)"
122,Boomerang (1992)
126,"NeverEnding Story III, The (1994)"
129,Pie in the Sky (1996)
137,Man of the Year (1995)
141,"Birdcage, The (1996)"
145,Bad Boys (1995)
146,"Amazing Panda Adventure, The (1995)"
147,"Basketball Diaries, The (1995)"
148,"Awfully Big Adventure, An (1995)"
149,Amateur (1994)
150,Apollo 13 (1995)
151,Rob Roy (1995)
152,"Addiction, The (1995)"
153,Batman Forever (1995)
155,Beyond Rangoon (1995)
156,Blue in the Face (1995)
157,Canadian Bacon (1995)
158,Casper (1995)
159,Clockers (1995)
160,Congo (1995)
161,Crimson Tide (1995)
162,Crumb (1994)
163,Desperado (1995)
164,Devil in a Blue Dress (1995)
166,"Doom Generation, The (1995)"
168,First Knight (1995)
169,Free Willy 2 The Adventure Home (1995)
170,Hackers (1995)
171,Jeffrey (1995)
172,Johnny Mnemonic (1995)
173,Judge Dredd (1995)
174,Jury Duty (1995)
175,Kids (1995)
176,Living in Oblivion (1995)
177,Lord of Illusions (1995)
179,Mad Love (1995)
180,Mallrats (1995)
181,Mighty Morphin Power Rangers The Movie (1995)
184,Nadja (1994)
185,"Net, The (1995)"
187,Party Girl (1995)
189,Reckless (1995)
190,Safe (1995)
191,"Scarlet Letter, The (1995)"
193,Showgirls (1995)
194,Smoke (1995)
195,Something to Talk About (1995)
196,Species (1995)
198,Strange Days (1995)
201,Three Wishes (1995)
202,Total Eclipse (1995)
204,Under Siege 2 Dark Territory (1995)
205,Unstrung Heroes (1995)
206,Unzipped (1995)
207,"Walk in the Clouds, A (1995)"
208,Waterworld (1995)
209,White Man's Burden (1995)
210,Wild Bill (1995)
211,"Browning Version, The (1994)"
212,Bushwhacked (1995)
215,Before Sunrise (1995)
216,Billy Madison (1995)
217,"Babysitter, The (1995)"
218,Boys on the Side (1995)
219,"Cure, The (1995)"
220,Castle Freak (1995)
222,Circle of Friends (1995)
223,Clerks (1994)
224,Don Juan DeMarco (1995)
225,Disclosure (1994)
227,Drop Zone (1994)
230,Dolores Claiborne (1995)
233,Exotica (1994)
234,Exit to Eden (1994)
235,Ed Wood (1994)
236,French Kiss (1995)
237,Forget Paris (1995)
239,"Goofy Movie, A (1995)"
240,Hideaway (1995)
241,Fluke (1995)
243,Gordy (1995)
246,Hoop Dreams (1994)
247,Heavenly Creatures (1994)
248,Houseguest (1994)
251,"Hunted, The (1995)"
252,I.Q. (1994)
254,Jefferson in Paris (1995)
256,Junior (1994)
257,Just Cause (1995)
258,"Kid in King Arthur's Court, A (1995)"
