movieId,value
1,Annie Potts
1,Don Rickles
1,Erik von Detten
1,Jim Varney
1,John Morris (actor)
1,John Ratzenberger
1,Tim Allen
1,Tom Hanks
1,Wallace Shawn
2,Bebe Neuwirth
2,Bonnie Hunt
2,David Alan Grier
2,Jonathan Hyde
2,Kirsten Dunst
2,Robin Williams
3,Ann-Margret
3,Daryl Hannah
3,Jack Lemmon
3,Kevin Pollak
3,Sophia Loren
3,Walter Matthau
4,Angela Bassett
4,Lela Rochon
4,Loretta Devine
4,Whitney Houston
5,B.D. Wong
5,Diane Keaton
5,Eugene Levy
5,George Newbern
5,Kieran Culkin
5,Kimberly Williams-Paisley
5,Martin Short
5,Steve Martin
6,Al Pacino
6,Amy Brenneman
6,Ashley Judd
6,Diane Venora
6,Jon Voight
6,Mykelti Williamson
6,Robert De Niro
6,Ted Levine
6,Tom Sizemore
6,Val Kilmer
6,Wes Studi
7,Greg Kinnear
7,Harrison Ford
7,John Wood (English actor)
7,Julia Ormond
7,Nancy Marchand
9,Dorian Harewood
9,Jean-Claude Van Damme
9,Powers Boothe
9,Raymond J. Barry
10,Famke Janssen
10,Izabella Scorupco
10,Joe Don Baker
10,Pierce Brosnan
10,Sean Bean
11,Annette Bening
11,David Paymer
11,Martin Sheen
11,Michael Douglas
11,Michael J. Fox
11,Samantha Mathis
12,Amy Yasbeck
12,Harvey Korman
12,Leslie Nielsen
12,Lysette Anthony
12,Mel Brooks
12,Peter MacNicol
12,Steven Weber
13,Bob Hoskins
13,Bridget Fonda
13,Jim Cummings
13,Kevin Bacon
13,Phil Collins
14,Anthony Hopkins
14,Bai Ling
14,Bob Hoskins
14,David Hyde Pierce
14,David Paymer
14,E. G. Marshall
14,Ed Harris
14,J. T. Walsh
14,James Woods
14,Joan Allen
14,Mary Steenburgen
14,Paul Sorvino
14,Powers Boothe
15,Frank Langella
15,Geena Davis
15,Matthew Modine
15,Maury Chaykin
15,Patrick Malahide
15,Stan Shaw
16,Don Rickles
16,James Woods
16,Joe Pesci
16,Kevin Pollak
16,Robert De Niro
16,Sharon Stone
17,Alan Rickman
17,Emma Thompson
17,Hugh Grant
17,Kate Winslet
18,Antonio Banderas
18,David Proval
18,Ione Skye
18,Jennifer Beals
18,Lili Taylor
18,Madonna
18,Marisa Tomei
18,Paul Calderon
18,Sammi Davis
18,Tamlyn Tomita
18,Tim Roth
18,Valeria Golino
19,Bob Gunton
19,Ian McNeice
19,Jim Carrey
19,Maynard Eziashi
19,Simon Callow
20,Chris Cooper
20,Jennifer Lopez
20,Robert Blake (actor)
20,Wesley Snipes
20,Woody Harrelson
21,Danny DeVito
21,Delroy Lindo
21,Dennis Farina
21,Gene Hackman
21,James Gandolfini
21,John Travolta
21,Rene Russo
22,Dermot Mulroney
22,Harry Connick Jr.
22,Holly Hunter
22,J. E. Freeman
22,John Rothman
22,Sigourney Weaver
22,Will Patton
22,William McNamara
23,Antonio Banderas
23,Julianne Moore
23,Sylvester Stallone
24,Jeff Goldblum
24,Lance Henriksen
24,Mary Steenburgen
24,Sean Patrick Flanery
25,Elisabeth Shue
25,Julian Sands
25,Nicolas Cage
26,Irène Jacob
26,Kenneth Branagh
26,Laurence Fishburne
27,Ashleigh Aston Moore
27,Christina Ricci
27,Demi Moore
27,Gaby Hoffmann
27,Melanie Griffith
27,Rita Wilson
27,Rosie O'Donnell
27,Thora Birch
28,Amanda Root
28,Ciarán Hinds
31,George Dzundza
31,Michelle Pfeiffer
34,James Cromwell
34,Magda Szubanski
36,R. Lee Ermey
36,Raymond J. Barry
36,Robert Prosky
36,Scott Wilson (actor)
36,Sean Penn
36,Susan Sarandon
38,Jane Sibbett
38,Kirstie Alley
38,Mary-Kate and Ashley Olsen
38,Philip Bosco
38,Steve Guttenberg
39,Alicia Silverstone
41,Annette Bening
41,Ian McKellen
41,Jim Broadbent
41,John Wood (English actor)
41,Kristin Scott Thomas
41,Maggie Smith
41,Nigel Hawthorne
41,Robert Downey Jr.
42,Bokeem Woodbine
42,Chris Tucker
42,Freddy Rodriguez (actor)
42,Keith David
42,Larenz Tate
42,N'Bushe Wright
43,David Thewlis
43,Hugh Grant
43,Ian McKellen
43,Meg Ryan
43,Polly Walker
43,Robert Downey Jr.
43,Sam Neill
44,Bridgette Wilson
44,Cary-Hiroyuki Tagawa
44,Christopher Lambert
44,Linden Ashby
44,Robin Shou
44,Talisa Soto
45,Joaquin Phoenix
45,Matt Dillon
45,Nicole Kidman
46,Alfre Woodard
46,Anne Bancroft
46,Dermot Mulroney
46,Derrick O'Connor
46,Ellen Burstyn
46,Jean Simmons
46,Kate Capshaw
46,Kate Nelligan
46,Lois Smith
46,Loren Dean
46,Maya Angelou
46,Mykelti Williamson
46,Rip Torn
46,Samantha Mathis
46,Winona Ryder
48,Billy Connolly
48,Christian Bale
48,David Ogden Stiers
48,Frank Welker
48,Gordon Tootoosis
48,Irene Bedard
48,John Kassir
48,Judy Kuhn
48,Linda Hunt
48,Mel Gibson
48,Michelle St. John
48,Russell Means
49,Pascale Bussières
49,Rachael Crawford
52,Claire Bloom
52,David Ogden Stiers
52,F. Murray Abraham
52,Helena Bonham Carter
52,Jack Warden
52,Michael Rapaport
52,Mira Sorvino
