movieId,value
1,Randy Newman
2,James Horner
3,Alan Silvestri
4,Babyface (musician)
5,Alan Silvestri
6,Elliot Goldenthal
7,John Williams
9,John Debney
10,Éric Serra
11,Marc Shaiman
12,Hummie Mann
13,James Horner
14,John Williams
15,John Debney
17,Patrick Doyle
18,Combustible Edison
19,Robert Folk
20,Mark Mancina
21,John Lurie
22,Christopher Young
23,Mark Mancina
24,Jerry Goldsmith
26,Charlie Mole
27,Cliff Eidelman
28,Jeremy Sams
31,Wendy & Lisa
34,Nigel Westlake
36,David Robbins (composer)
39,David Kitay
41,Trevor Jones (composer)
42,Danny Elfman
43,James Newton Howard
44,George S. Clinton
45,Danny Elfman
46,Thomas Newman
48,Alan Menken
49,Lesley Barber
52,Dick Hyman
53,Franco Piersanti
54,Randy Edelman
57,Mark Isham
60,Randy Edelman
61,James Newton Howard
62,Michael Kamen
63,John Barnes (musician)
66,Robert Folk
69,Simon Franglen
71,Mark Mancina
74,Michael Convertino
75,David Newman (composer)
76,Normand Corbeil
78,Jack Nitzsche
79,James Newton Howard
81,Michael Convertino
86,Jeff Rona
87,Miles Goodman
88,William Ross (composer)
89,Arthur B. Rubinstein
92,George Fenton
93,J. Peter Robinson
94,David A. Stewart
95,Hans Zimmer
96,Jimmy Yuill
100,Jerry Goldsmith
101,Mark Mothersbaugh
102,Craig Safan
103,Christopher Young
104,Mark Mothersbaugh
105,Lennie Niehaus
107,Hans Zimmer
108,Leigh Gorman
108,Malcolm McLaren
110,James Horner
111,Bernard Herrmann
113,Howard Shore
119,William Olvis
122,Marcus Miller
126,Peter Wolf (producer)
129,Michael Convertino
132,James Horner
137,Peitor Angell
141,Jonathan Tunick
144,Seamus Egan
145,Mark Mancina
146,William Ross (composer)
147,Graeme Revell
148,Richard Hartley (composer)
150,James Horner
151,Carter Burwell
152,Joe Delia
153,Elliot Goldenthal
155,Hans Zimmer
156,John Lurie
157,Elmer Bernstein
158,James Horner
159,Terence Blanchard
160,Jerry Goldsmith
161,Hans Zimmer
163,Los Lobos
164,Elmer Bernstein
166,Dan Gatto
168,Jerry Goldsmith
169,Basil Poledouris
170,Simon Boswell
171,Stephen Endelman
172,Brad Fiedel
172,Mychael Danna
173,Alan Silvestri
174,David Kitay
175,Lou Barlow
177,Simon Boswell
179,Andy Roberts (musician)
180,Ira Newborn
181,Graeme Revell
184,Simon Fisher Turner
185,Mark Isham
186,Hans Zimmer
187,Anton Sanko
188,David C. Williams (film composer)
191,John Barry (composer)
193,David A. Stewart
194,Rachel Portman
195,Hans Zimmer
196,Christopher Young
198,Graeme Revell
202,Jan A.P. Kaczmarek
204,Basil Poledouris
205,Thomas Newman
207,Maurice Jarre
208,James Newton Howard
209,Howard Shore
210,Van Dyke Parks
211,Mark Isham
212,Bill Conti
215,Fred Frith
216,Randy Edelman
217,Loek Dikker
218,David Newman (composer)
219,Dave Grusin
220,Richard Band
222,Michael Kamen
224,Michael Kamen
225,Ennio Morricone
227,Hans Zimmer
229,Wojciech Kilar
230,Danny Elfman
233,Mychael Danna
234,Patrick Doyle
235,Howard Shore
236,James Newton Howard
237,Marc Shaiman
239,Carter Burwell
240,Trevor Jones (composer)
241,Carlo Siliotto
243,Charles Fox (composer)
246,Ben Sidran
247,Peter Dasent
248,John Debney
249,Gioacchino Rossini
249,Ludwig van Beethoven
251,Kodo (taiko group)
252,Jerry Goldsmith
254,Richard Robbins (composer)
256,James Newton Howard
257,James Newton Howard
258,J. A. C. Redford
