movieId,value
2,Interscope Communications
2,TriStar Pictures
5,Touchstone Pictures
6,Regency Enterprises
7,Mirage Enterprises
7,Sandollar Productions
10,Eon Productions
10,United Artists
11,Castle Rock Entertainment
11,Columbia Pictures
11,Universal Pictures
12,Brooksfilms
12,Castle Rock Entertainment
12,Gaumont British
13,Amblimation
13,Amblin Entertainment
14,Cinergi Pictures
14,Hollywood Pictures
15,Carolco Pictures
16,Légende Entreprises
16,Sikelia Productions
17,Columbia Pictures
17,Good Machine
17,Mirage Enterprises
18,A Band Apart
19,Morgan Creek Productions
20,Columbia Pictures

22,Regency Enterprises
23,Silver Pictures
24,Caravan Pictures
24,Daniel Grodnik
24,Hollywood Pictures
24,Roger Birnbaum
25,StudioCanal
25,United Artists
26,Castle Rock Entertainment
26,Columbia Pictures
28,BBC
28,WGBH-TV
34,Kennedy Miller Mitchell
36,PolyGram Filmed Entertainment
36,Working Title Films
38,Dualstar
38,Rysher Entertainment
39,Paramount Pictures
41,First Look International
41,United Artists
42,Caravan Pictures
42,Hollywood Pictures
44,New Line Cinema
44,Threshold Entertainment
45,Columbia Pictures
45,Rank Organisation
46,Amblin Entertainment
48,Walt Disney Feature Animation
48,Walt Disney Pictures
54,Caravan Pictures
54,Walt Disney Pictures
57,Jodie Foster
62,Hollywood Pictures
62,Interscope Communications
62,PolyGram Filmed Entertainment
63,Island Records
63,Keenen Ivory Wayans
65,Motion Picture Corporation of America
71,Silver Pictures
74,New Line Cinema
75,Morgan Creek Productions
79,Columbia Pictures
81,Cary Woods
86,Hollywood Pictures
86,Largo Entertainment
86,Scott Free Productions
87,20th Century Fox Animation
92,TriStar Pictures
96,Castle Rock Entertainment
100,Castle Rock Entertainment
100,Columbia Pictures
101,Columbia Pictures
101,Gracie Films
102,Mandeville Films
102,Touchstone Pictures
104,Brillstein-Grey Entertainment
107,The Jim Henson Company
107,Walt Disney Pictures
110,Icon Productions
110,The Ladd Company
113,Caravan Pictures
113,Hollywood Pictures
118,Motion Picture Corporation of America
118,TriStar Pictures
122,Imagine Entertainment
126,CineVox
129,John Hughes (filmmaker)
141,United Artists
144,Fox Searchlight Pictures
145,Columbia Pictures
145,Don Simpson
145,Jerry Bruckheimer Films
146,Warner Bros. Pictures
147,Island Records
150,Imagine Entertainment
150,Universal Pictures
151,United Artists
153,PolyGram Pictures
153,Tim Burton Productions
153,Warner Bros.
155,Castle Rock Entertainment
158,Amblin Entertainment
158,Harvey Films
159,40 Acres and a Mule Filmworks
160,The Kennedy/Marshall Company
161,Don Simpson
161,Hollywood Pictures
161,Jerry Bruckheimer
163,Columbia Pictures
163,Troublemaker Studios
164,TriStar Pictures
168,Columbia Pictures
168,Jerry Zucker (film director)
169,Regency Enterprises
169,StudioCanal
169,The Donners' Company
170,United Artists
174,Triumph Films
179,Touchstone Pictures
180,Gramercy Pictures
180,View Askew Productions
181,20th Century Animation
181,Saban Entertainment
181,Toei Company
185,Columbia Pictures
186,1492 Pictures
188,Dimension Films
188,First Look International
190,American Playhouse
190,Film4 Productions
190,Good Machine
190,Killer Films
193,Carolco Pictures
193,Chargeurs
193,United Artists
196,Metro-Goldwyn-Mayer Pictures
198,Lightstorm Entertainment
201,Rysher Entertainment
204,New Regency Productions
204,Regency Enterprises
204,Seagal/Nasso Productions
205,Hollywood Pictures
207,Jerry Zucker (film director)
208,Davis Entertainment
209,A Band Apart
209,Rysher Entertainment
209,UGC (cinema operator)
210,The Zanuck Company
210,United Artists
212,20th Century Fox Animation
215,Castle Rock Entertainment
218,New Regency Productions
218,Regency Enterprises
218,StudioCanal
219,Island World
220,Full Moon Entertainment
223,View Askew Productions
224,American Zoetrope
227,Paramount Pictures
228,Rysher Entertainment
229,Capitol Films
229,Film4 Productions
230,Castle Rock Entertainment
235,Touchstone Pictures
236,Working Title Films
237,Castle Rock Entertainment
237,Columbia Pictures
240,TriStar Pictures
246,Kartemquin Films
247,New Zealand Film Commission
247,WingNut Films
248,Caravan Pictures
248,Hollywood Pictures
249,Columbia Pictures
249,Icon Productions
251,Davis Entertainment
251,Toei Company
254,Merchant Ivory Productions
254,Touchstone Pictures
258,Tapestry Films
258,Trimark Pictures
258,Walt Disney Pictures
262,Baltimore Pictures
266,Bedford Falls Productions
266,TriStar Pictures
274,James Orr (filmmaker)
274,Walt Disney Pictures
275,TriStar Pictures
276,The Kennedy/Marshall Company
277,20th Century Fox Animation
277,Hughes Entertainment
278,Hollywood Pictures
279,American Playhouse
279,American Zoetrope
280,David L. Wolper
280,StudioCanal
282,Egg Pictures
282,Polygram Filmed Entertainment
283,40 Acres and a Mule Filmworks
295,Hollywood Pictures
300,Hollywood Pictures
300,Michael Jacobs Productions
303,JSTV
303,TriStar Pictures
304,Hollywood Pictures
304,Interscope Communications
304,Nomura Babcock & Brown
304,PolyGram Filmed Entertainment
310,GK Films
313,Crest Animation Productions
313,Nest Entertainment
315,Jerry Weintraub Productions
317,Hollywood Pictures
317,Walt Disney Pictures
318,Castle Rock Entertainment
319,Film4 Productions
319,PolyGram Filmed Entertainment
325,Alliance Films
327,United Artists
330,40 Acres and a Mule Filmworks
339,Caravan Pictures
339,Hollywood Pictures
340,Island World
384,Touchstone Pictures
387,Caravan Pictures
387,Hollywood Pictures
391,PolyGram Filmed Entertainment
391,Propaganda Films
393,Capcom
410,Scott Rudin Productions
412,Sikelia Productions
413,Island World
414,Hollywood Pictures
414,Interscope Communications
414,Nomura Babcock & Brown
414,PolyGram Filmed Entertainment
415,Touchstone Pictures
417,Castle Rock Entertainment
421,Warner Bros.
423,Metro-Goldwyn-Mayer
425,Orion Pictures
429,Skellington Productions
429,Tim Burton Productions
429,Touchstone Pictures
431,Trans World Entertainment (film company)
432,Castle Rock Entertainment
433,Metro-Goldwyn-Mayer
433,The Zanuck Company
434,Carolco Pictures
434,Pioneer Corporation
434,RCS MediaGroup
434,StudioCanal
435,Lorne Michaels
435,NBC
436,Cinergi Pictures
436,Hollywood Pictures
438,Imagine Entertainment
440,Ivan Reitman
440,The Donners' Company
441,Richard Linklater
442,Silver Pictures
449,ITC Entertainment
453,Imagine Entertainment
454,Davis Entertainment
454,Mirage Enterprises
457,Arnold Kopelson
464,Renaissance Pictures
469,Constantin Film
471,PolyGram Filmed Entertainment
471,Silver Pictures
471,Working Title Films
472,Gracie Films
474,Castle Rock Entertainment
476,Touchstone Pictures
479,JVC
479,Largo Entertainment
480,Amblin Entertainment
480,Universal Pictures
481,PolyGram Filmed Entertainment
481,Propaganda Films
481,Viacom Productions
482,Artisan Entertainment
482,Davis Films
484,Broadway Video
486,Touchstone Pictures
487,Village Roadshow Pictures
488,The Geffen Film Company
489,Regency Enterprises
489,StudioCanal
490,Castle Rock Entertainment
490,Nelvana
490,New Line Cinema
491,Icon Productions
494,Silver Pictures
497,American Playhouse
497,BBC Films
499,The Samuel Goldwyn Company
500,20th Century Fox
501,Thin Man Films
505,Castle Rock Entertainment
505,New Line Cinema
507,Malpaso Productions
509,Ciby 2000
509,Jan Chapman
512,Hollywood Pictures
513,Lucasfilm
513,Universal Pictures
514,Don Simpson
514,Jerry Bruckheimer
514,Touchstone Pictures
515,Merchant Ivory Productions
516,Cinergi Pictures
516,Penny Marshall
516,Touchstone Pictures
518,Beacon Pictures
521,PolyGram Filmed Entertainment
521,Working Title Films
522,VicScreen
527,Amblin Entertainment
527,Universal Pictures
531,American Zoetrope
534,Spelling Entertainment
535,Spelling Entertainment
536,Touchstone Pictures
538,Regency Enterprises
541,Shaw Brothers
541,The Ladd Company
542,Hollywood Pictures
546,Allied Filmmakers
546,Cinergi Pictures
546,Hollywood Pictures
546,Lightmotive
548,Hollywood Pictures
548,Interscope Communications
548,Nomura Babcock & Brown
548,PolyGram Filmed Entertainment
550,Motion Picture Corporation of America
551,Skellington Productions
551,Touchstone Pictures
552,Caravan Pictures
552,Walt Disney Pictures
553,Cinergi Pictures
553,Hollywood Pictures
558,Hanna-Barbera
564,Morgan Creek Productions
567,Ciby 2000
567,El Deseo
568,Film4 Productions
569,Andrew Bergman
569,Castle Rock Entertainment
575,Amblin Entertainment
575,KingWorld
577,The Kushner-Locke Company
580,Beacon Pictures
581,Channel Four Films
581,HBO Pictures
585,The Ladd Company
586,Hughes Entertainment
587,Howard W. Koch Productions
587,Paramount Pictures
589,Carolco Pictures
589,Lightstorm Entertainment
589,Pacific Western Productions
589,StudioCanal
594,Walt Disney Animation Studios
596,Walt Disney Animation Studios
597,Regency Enterprises
597,Silver Screen Partners
597,Touchstone Pictures
599,Warner Bros.-Seven Arts
600,Trimark Pictures
605,Lynda Obst Productions
608,PolyGram Filmed Entertainment
608,Working Title Films
609,Walt Disney Pictures
610,Canadian Film Development Corporation
610,Famous Players
611,Dimension Films
618,Fernando Trueba
618,Interscope Communications
618,PolyGram Filmed Entertainment
618,Sogetel
618,Touchstone Pictures
634,New Line Cinema
635,United Artists
637,Imagine Entertainment
638,ITV Granada
638,PolyGram Filmed Entertainment
638,StudioCanal
639,40 Acres and a Mule Filmworks
639,Fox Searchlight Pictures
640,Morgan Creek Productions
647,David T. Friendly
647,Davis Entertainment
647,Fox 2000 Pictures
648,Cruise/Wagner Productions
656,Hollywood Pictures
656,Island Records
656,PolyGram Filmed Entertainment
661,Allied Filmmakers
661,Skellington Productions
661,Walt Disney Pictures
662,Imagine Entertainment
663,Lakeshore Entertainment
671,Best Brains
673,Warner Bros. Family Entertainment
673,Warner Bros. Feature Animation
674,Dino De Laurentiis
679,Castle Rock Entertainment
685,United Artists
688,Interscope Communications
688,PolyGram Filmed Entertainment
688,Walt Disney Pictures
691,A&M Records
692,Triumph Films
694,Live Entertainment
697,Danny Devito
698,Alliance Communications Corporation
698,New Line Cinema
700,Atlas Entertainment
700,BBC
700,Turner Pictures
706,Danny DeVito
709,Silver Screen Partners III
709,Walt Disney Animation Studios
709,Walt Disney Pictures
710,Caravan Pictures
710,Hollywood Pictures
710,Roger Birnbaum
711,The Bubble Factory
719,Columbia Pictures
726,Touchstone Pictures
731,Savoy Pictures
736,Amblin Entertainment
736,Universal Pictures
736,Warner Bros. Pictures
737,Dark Horse Entertainment
737,PolyGram Filmed Entertainment
737,Propaganda Films
743,Hollywood Pictures
747,Savoy Pictures
759,American Film Foundation
761,Hearst Communications
761,The Ladd Company
761,Village Roadshow Pictures
762,Castle Rock Entertainment
765,American Zoetrope
765,Great Oaks Entertainment
765,Hollywood Pictures
766,BBC Film
766,Killer Films
766,The Samuel Goldwyn Company
779,Lakeshore Entertainment
782,Mandalay Pictures
782,Scott Free Productions
782,TriStar Pictures
783,Walt Disney Feature Animation
783,Walt Disney Pictures
