dimension,category
0,"""""""Weird Al"""" Yankovic"""
1,"""""""Weird"""" Al Yankovic"""
2,"""Alan Ladd, Jr."""
3,"""Anderson County, South Carolina"""
4,"""Atsushi Watanabe (actor, born 1898)"""
5,"""Aurora Productions, Hollywood"""
6,"""Baker City, Oregon"""
7,"""Barbary Coast, San Francisco"""
8,"""Baton Rouge, Louisiana"""
9,"""Beacon, New York"""
10,"""Belmont, Bronx"""
11,"""Best Film, London Film Festival winners"""
12,"""Billy """"Green"""" Bush"""
13,"""Birdsville, Queensland"""
14,"""Brad Johnson (actor, born 1959)"""
15,"""Braintree, Massachusetts"""
16,"""Bridgewater, Massachusetts"""
17,"""Brigham City, Utah"""
18,"""Bureau of Alcohol, Tobacco, Firearms and Explosives in fiction"""
19,"""Burkittsville, Maryland"""
20,"""Burlington, Massachusetts"""
21,"""Byron Bay, New South Wales"""
22,"""Carl Laemmle, Jr."""
23,"""Carteret County, North Carolina"""
24,"""Charlestown, Boston"""
25,"""Chin Han (actor, born 1969)"""
26,"""Chinatown, Los Angeles"""
27,"""Chinatown, San Francisco in fiction"""
28,"""City Island, Bronx"""
29,"""Clifton Collins, Jr."""
30,"""Clifton, New Jersey"""
31,"""Compton, California"""
32,"""Corcoran, California"""
33,"""Cottage Grove, Oregon"""
34,"""Cultural depictions of Albert, Prince Consort"""
35,"""Cultural depictions of Charles V, Holy Roman Emperor"""
36,"""Cultural depictions of Gilbert du Motier, Marquis de Lafayette"""
37,"""Cultural depictions of Herbert Kitchener, 1st Earl Kitchener"""
38,"""Cultural depictions of John, King of England"""
39,"""Cultural depictions of Joseph II, Holy Roman Emperor"""
40,"""Cultural depictions of Louis Mountbatten, 1st Earl Mountbatten of Burma"""
41,"""Culture in Reading, Berkshire"""
42,"""Culture of Dubuque, Iowa"""
43,"""Culture of Grand Rapids, Michigan"""
44,"""Culture of Memphis, Tennessee"""
45,"""Culture of Nashville, Tennessee"""
46,"""Culture of New Haven, Connecticut"""
47,"""Culture of Newark, New Jersey"""
48,"""Culture of Orlando, Florida"""
49,"""Culture of Tallahassee, Florida"""
50,"""Culture of Winston-Salem, North Carolina"""
51,"""Curtis """"50 Cent"""" Jackson"""
52,"""Custer County, Colorado"""
53,"""Damon Wayans, Jr."""
54,"""Daniel Petrie, Jr."""
55,"""Documentary films about Hollywood, Los Angeles"""
56,"""Dodge City, Kansas"""
57,"""Druid Hills, Georgia"""
58,"""Dubois County, Indiana"""
59,"""Ed Begley, Jr."""
60,"""Edward T. Lowe, Jr."""
61,"""Elisha Cook, Jr."""
62,"""Elizabethtown, Kentucky"""
63,"""Eric """"Bibo"""" Bergeron"""
64,"""Essex, Massachusetts"""
65,"""Fargo, North Dakota"""
66,"""Films about Diana, Princess of Wales"""
67,"""Films about Hollywood, Los Angeles"""
68,"""Films about Mary, Queen of Scots"""
69,"""Films directed by Ford Beebe, Jr."""
70,"""Films set in Akron, Ohio"""
71,"""Films set in Albany, New York"""
72,"""Films set in Astoria, Oregon"""
73,"""Films set in Atlantic City, New Jersey"""
74,"""Films set in Austin, Texas"""
75,"""Films set in Balochistan, Pakistan"""
76,"""Films set in Bath, Somerset"""
77,"""Films set in Beverly Hills, California"""
78,"""Films set in Birmingham, West Midlands"""
79,"""Films set in Buffalo, New York"""
80,"""Films set in Bullhead City, Arizona"""
81,"""Films set in Burbank, California"""
82,"""Films set in Charleston, South Carolina"""
83,"""Films set in Columbia, Missouri"""
84,"""Films set in Columbus, Ohio"""
85,"""Films set in Coral Gables, Florida"""
86,"""Films set in El Paso, Texas"""
87,"""Films set in Fairfax County, Virginia"""
88,"""Films set in Florence, Arizona"""
89,"""Films set in Frederick County, Maryland"""
90,"""Films set in Fresno, California"""
91,"""Films set in Gangwon Province, South Korea"""
92,"""Films set in Hudson County, New Jersey"""
93,"""Films set in Irvine, California"""
94,"""Films set in Jersey City, New Jersey"""
95,"""Films set in Kansas City, Missouri"""
96,"""Films set in Koreatown, Los Angeles"""
97,"""Films set in Langley, Virginia"""
98,"""Films set in Long Beach, California"""
99,"""Films set in Los Angeles County, California"""
100,"""Films set in Louisville, Kentucky"""
101,"""Films set in Madison, Wisconsin"""
102,"""Films set in Malibu, California"""
103,"""Films set in Maricopa County, Arizona"""
104,"""Films set in Memphis, Tennessee"""
105,"""Films set in Montgomery County, Maryland"""
106,"""Films set in Nashville, Tennessee"""
107,"""Films set in Oakland, California"""
108,"""Films set in Orange County, California"""
109,"""Films set in Orlando, Florida"""
110,"""Films set in Palm Springs, California"""
111,"""Films set in Palo Alto, California"""
112,"""Films set in Pasadena, California"""
113,"""Films set in Phoenix, Arizona"""
114,"""Films set in Pima County, Arizona"""
115,"""Films set in Polyarny, Murmansk Oblast"""
116,"""Films set in Portland, Oregon"""
117,"""Films set in Queens, New York"""
118,"""Films set in Reno, Nevada"""
119,"""Films set in Richmond, Virginia"""
120,"""Films set in Riverside County, California"""
121,"""Films set in Sacramento, California"""
122,"""Films set in San Jose, California"""
123,"""Films set in Santa Barbara, California"""
124,"""Films set in Santa Cruz County, California"""
125,"""Films set in Santa Monica, California"""
126,"""Films set in Savannah, Georgia"""
127,"""Films set in Scottsdale, Arizona"""
128,"""Films set in Sun City, Arizona"""
129,"""Films set in Sun Valley, Idaho"""
130,"""Films set in Superior, Arizona"""
131,"""Films set in Tampa, Florida"""
132,"""Films set in Toledo, Spain"""
133,"""Films set in Tombstone, Arizona"""
134,"""Films set in Tucson, Arizona"""
135,"""Films set in Tulsa, Oklahoma"""
136,"""Films set in Washington, D.C."""
137,"""Films set in Westchester County, New York"""
138,"""Films set in Youngstown, Ohio"""
139,"""Films shot at Warner Bros. Studios, Leavesden"""
140,"""Films shot in Allentown, Pennsylvania"""
141,"""Films shot in Astoria, Oregon"""
142,"""Films shot in Atlantic City, New Jersey"""
143,"""Films shot in Austin, Texas"""
144,"""Films shot in Bend, Oregon"""
145,"""Films shot in Beverly Hills, California"""
146,"""Films shot in Big Bear Lake, California"""
147,"""Films shot in Buffalo, New York"""
148,"""Films shot in Burbank, California"""
149,"""Films shot in Columbia, Missouri"""
150,"""Films shot in Corpus Christi, Texas"""
151,"""Films shot in Dedham, Massachusetts"""
152,"""Films shot in El Paso, Texas"""
153,"""Films shot in Erie, Pennsylvania"""
154,"""Films shot in Eugene, Oregon"""
155,"""Films shot in Fort Lee, New Jersey"""
156,"""Films shot in Fort Worth, Texas"""
157,"""Films shot in Halifax, Nova Scotia"""
158,"""Films shot in Hamilton, Ontario"""
159,"""Films shot in Harrisburg, Pennsylvania"""
160,"""Films shot in Jacksonville, Florida"""
161,"""Films shot in Kingston, Ontario"""
162,"""Films shot in Lalitpur, Nepal"""
163,"""Films shot in Lone Pine, California"""
164,"""Films shot in Long Beach, California"""
165,"""Films shot in Los Angeles County, California"""
166,"""Films shot in Malibu, California"""
167,"""Films shot in Mobile, Alabama"""
168,"""Films shot in New Braunfels, Texas"""
169,"""Films shot in Newark, New Jersey"""
170,"""Films shot in Oakland, California"""
171,"""Films shot in Pasadena, California"""
172,"""Films shot in Phoenix, Arizona"""
173,"""Films shot in Portland, Oregon"""
174,"""Films shot in Punjab, India"""
175,"""Films shot in Quincy, Massachusetts"""
176,"""Films shot in Sacramento, California"""
177,"""Films shot in Salvador, Bahia"""
178,"""Films shot in San Jose, California"""
179,"""Films shot in San Quentin, California"""
180,"""Films shot in Santa Clarita, California"""
181,"""Films shot in Santa Monica, California"""
182,"""Films shot in Sault Ste. Marie, Ontario"""
183,"""Films shot in Savannah, Georgia"""
184,"""Films shot in Sun Valley, Idaho"""
185,"""Films shot in Tazewell County, Virginia"""
186,"""Films shot in Tucson, Arizona"""
187,"""Films shot in Venice, Los Angeles"""
188,"""Films shot in Ventura County, California"""
189,"""Films shot in Washington, D.C."""
190,"""Films shot in Youngstown, Ohio"""
191,"""Films shot on the Gold Coast, Queensland"""
192,"""Flint, Michigan"""
193,"""Fort Lauderdale, Florida"""
194,"""Frank Mancuso, Jr."""
195,"""Franklin County, Virginia"""
196,"""Freddie Prinze, Jr."""
197,"""Fuji Television Network, Inc."""
198,"""Gary """"Litefoot"""" Davis"""
199,"""George """"Buck"""" Flower"""
200,"""George Tillman, Jr."""
201,"""Grammy Award for Best Engineered Album, Non-Classical"""
202,"""Harry Shum, Jr."""
203,"""Highlands, New Jersey"""
204,"""History of Birmingham, Alabama"""
205,"""History of Cambridge, Massachusetts"""
206,"""History of Oakland, California"""
207,"""History of Paterson, New Jersey"""
208,"""History of St. John's, Newfoundland and Labrador"""
209,"""Honesdale, Pennsylvania"""
210,"""Howard W. Koch, Jr."""
211,"""Hugo Award for Best Dramatic Presentation, Long Form winning works"""
212,"""Hugo Award for Best Dramatic Presentation, Short Form-winning works"""
213,"""Ian Nelson (actor, born 1995)"""
214,"""Jack Epps, Jr."""
215,"""Jackson, Mississippi"""
216,"""Jane Adams (actress, born 1965)"""
217,"""Jason Davis (actor, born 1984)"""
218,"""Jeff """"Swampy"""" Marsh"""
219,"""Jeff Richards (actor, born 1924)"""
220,"""Jeremy Jordan (actor, born 1984)"""
221,"""Jeremy Jordan (singer, born 1973)"""
222,"""John Gallagher, Jr."""
223,"""John Knatchbull, 7th Baron Brabourne"""
224,"""John Stalberg, Jr."""
225,"""Kim Min-hee (actress, born 1982)"""
226,"""Kingston, New York"""
227,"""Lake Forest, Illinois"""
228,"""Laurel Canyon, Los Angeles"""
229,"""Lebanon, Tennessee"""
230,"""Lew Grade, Baron Grade"""
231,"""Lon Chaney, Jr."""
232,"""Lower Merion Township, Pennsylvania"""
233,"""MPH Entertainment, Inc."""
234,"""Madison County, New York"""
235,"""Manchester-by-the-Sea, Massachusetts"""
236,"""Manhattan Beach, California"""
237,"""Manitowoc County, Wisconsin"""
238,"""Marfa, Texas"""
239,"""Mark """"Chopper"""" Read"""
240,"""Marlin, Texas"""
241,"""Marsha Hunt (actress, born 1946)"""
242,"""Mass media in Middlesex County, Massachusetts"""
243,"""Mass media in Norfolk County, Massachusetts"""
244,"""Mass media in Suffolk County, Massachusetts"""
245,"""Meghan, Duchess of Sussex"""
246,"""Miami Beach, Florida"""
247,"""Michael Anderson, Jr."""
