movieId,value
1,John Lasseter
2,Joe Johnston
3,Howard Deutch
4,Forest Whitaker
5,Charles Shyer
6,Michael Mann
7,Sydney Pollack
9,Peter Hyams
10,Martin Campbell
11,Rob Reiner
12,Mel Brooks
13,Simon Wells
14,Oliver Stone
15,Renny Harlin
16,Martin Scorsese
17,Ang Lee
18,Alexandre Rockwell
18,Allison Anders
18,Quentin Tarantino
18,Robert Rodriguez
19,Steve Oedekerk
20,Joseph Ruben

21,Barry Sonnenfeld
22,Jon Amiel
23,Richard Donner
24,Victor Salva
25,Mike Figgis
26,Oliver Parker
27,Lesli Linka Glatter
28,Roger Michell
31,John N. Smith
34,Chris Noonan
36,Tim Robbins
38,Andy Tennant
39,Amy Heckerling
41,Richard Loncraine
42,Hughes brothers
43,Michael Hoffman (director)
44,Paul W. S. Anderson
45,Gus Van Sant
46,Jocelyn Moorhouse
48,Eric Goldberg (animator)
48,Mike Gabriel
49,Patricia Rozema
52,Woody Allen
53,Gianni Amelio
54,Holly Goldberg Sloan
55,Ulu Grosbard
57,Jodie Foster
60,Frank Oz
61,John Schlesinger
62,Stephen Herek
63,Paris Barclay
65,Jason Bloom (director)
66,Farhad Mann
69,F. Gary Gray
72,Noah Baumbach
74,Michael Goldenberg
75,Steve Miner
76,Christian Duguay (director)
78,Sean Penn
79,Brian Gibson (director)
81,Gary Fleder
86,Ridley Scott
87,Ken Kwapis
88,Penelope Spheeris
89,John Badham
92,Stephen Frears
93,Wes Craven
94,Ted Demme
95,John Woo
96,Kenneth Branagh
99,Nick Broomfield
100,Harold Becker
101,Wes Anderson
102,Nick Castle
103,John Dahl
104,Dennis Dugan
105,Clint Eastwood
107,Brian Henson
110,Mel Gibson
111,Martin Scorsese
113,Barbet Schroeder
116,Jon Blair
117,Benjamin Ross
118,Eric Schaeffer
119,Andrew Davis (director)
121,John N. Smith
122,Reginald Hudlin
126,Peter MacDonald (film director)
129,Bryan Gordon
132,William Friedkin
137,Dirk Shafer
141,Mike Nichols
144,Edward Burns
145,Michael Bay
146,Christopher Cain
147,Scott Kalvert
148,Mike Newell (director)
149,Hal Hartley
150,Ron Howard
151,Michael Caton-Jones
152,Abel Ferrara
153,Joel Schumacher
155,John Boorman
156,Paul Auster
156,Wayne Wang
157,Michael Moore
158,Brad Silberling
159,Spike Lee
160,Frank Marshall (filmmaker)
161,Tony Scott
162,Terry Zwigoff
163,Robert Rodriguez
164,Carl Franklin
166,Gregg Araki
168,Jerry Zucker
169,Dwight Little
170,Iain Softley
171,Christopher Ashley
172,Robert Longo
173,Danny Cannon
174,John Fortenberry
175,Larry Clark
176,Tom DiCillo
177,Clive Barker
179,Antonia Bird
180,Kevin Smith
181,Bryan Spicer
183,Anthony Waller
184,Michael Almereyda
185,Irwin Winkler
186,Chris Columbus (filmmaker)
187,Daisy von Scherler Mayer
188,Gregory Widen
189,Norman René
190,Todd Haynes
191,Roland Joffé
193,Paul Verhoeven
194,Wayne Wang
195,Lasse Hallström
196,Roger Donaldson
198,Kathryn Bigelow
201,Martha Coolidge
202,Agnieszka Holland
204,Geoff Murphy
205,Diane Keaton
207,Alfonso Arau
208,Kevin Reynolds (director)
209,Desmond Nakano
210,Walter Hill (director)
211,Mike Figgis
212,Greg Beeman
215,Richard Linklater
216,Tamra Davis
217,Guy Ferland
218,Herbert Ross
219,Peter Horton
220,Stuart Gordon
222,Pat O'Connor (director)
223,Kevin Smith
224,Jeremy Leven
225,Barry Levinson
227,John Badham
229,Roman Polanski
230,Taylor Hackford
233,Atom Egoyan
234,Garry Marshall
235,Tim Burton
236,Lawrence Kasdan
237,Billy Crystal
239,Kevin Lima
240,Brett Leonard
241,Carlo Carlei
246,Steve James (film producer)
247,Peter Jackson
248,Randall Miller
249,Bernard Rose (director)
251,J. F. Lawton
252,Fred Schepisi
254,James Ivory
256,Ivan Reitman
257,Arne Glimcher
258,Michael Gottlieb (director)
259,Barbet Schroeder
261,Gillian Armstrong
262,Alfonso Cuarón
266,Edward Zwick
267,Nick Castle
270,Glenn Gordon Caron
271,Stephen Gyllenhaal
272,Nicholas Hytner
274,James Orr (filmmaker)
275,Nora Ephron
276,Richard Benjamin
277,Les Mayfield
278,David Frankel
279,Gregory Nava
280,Marc Rocco
281,Robert Benton
282,Michael Apted
283,Nick Gomez
287,Alan Jacobs (filmmaker)
289,Norman Jewison
290,Lee Tamahori
292,Wolfgang Petersen
294,Mira Nair
295,Joshua Brand
296,Quentin Tarantino
300,Robert Redford
303,Sam Raimi
304,Peter Yates
310,Fred Gerber
311,George Mihalka
312,Harold Ramis
313,Richard Rich (filmmaker)
314,John Sayles
315,Luis Llosa
316,Roland Emmerich
317,John Pasquin
318,Frank Darabont
319,Danny Boyle
320,David Siegel (screenwriter)
320,Scott McGehee
322,George Huang (director)
324,Kevin Dowling (director)
325,Kelly Makin
327,Rachel Talalay
330,Rusty Cundieff
331,Brian Gilbert (director)
332,John Carpenter
334,Louis Malle
336,Preston A. Whitmore II
337,Lasse Hallström
338,Brett Leonard
339,Jon Turteltaub
340,Jon Avnet
383,Lawrence Kasdan
384,Damian Harris
385,Suri Krishnamma
386,Jefery Levy
387,Keenen Ivory Wayans
391,Doug McHenry
393,Steven E. de Souza
406,Michael Corrente
408,John G. Avildsen
409,Jeff Pollack
410,Barry Sonnenfeld
412,Martin Scorsese
413,Michael Lehmann
414,Paul Michael Glaser
415,John Badham
416,Jonathan Kaplan
417,Whit Stillman
419,Penelope Spheeris
420,John Landis
421,Caroline Thompson
423,Stephen Hopkins (director)
424,William Friedkin
425,Tony Richardson
426,Abel Ferrara
427,Jennifer Lynch
428,Robert De Niro
429,Adam Resnick
430,John Whitesell
431,Brian De Palma
432,Paul Weiland
433,Mick Jackson (film director)
434,Renny Harlin
435,Steve Barron
436,Richard Rush (director)
438,Gregg Champion
440,Ivan Reitman
441,Richard Linklater
442,Marco Brambilla
444,Gus Van Sant
445,Carl Reiner
448,Peter Weir
449,Rusty Cundieff
450,Alek Keshishian
451,Steve Kloves
452,John Irvin
453,Barry Sonnenfeld
454,Sydney Pollack
455,Simon Wincer
456,Boaz Yakin
457,Andrew Davis (director)
458,Walter Hill (director)
459,Roger Donaldson
460,Howard Deutch
461,Rose Troche
464,John Woo
466,Jim Abrahams
469,Bille August
471,Coen brothers
472,James L. Brooks
474,Wolfgang Petersen
475,Jim Sheridan
476,Matty Rich
478,Barry Levinson
479,Stephen Hopkins (director)
480,Steven Spielberg
481,Dominic Sena
482,Roger Avary
484,Daniel Petrie
485,John McTiernan
486,James Lapine
487,Simon Wincer
488,David Cronenberg
489,Richard Benjamin
490,Harold Becker
491,Mel Gibson
492,Woody Allen
493,Hughes Brothers
494,Stuart Baird
497,Kenneth Branagh
499,Anthony Minghella
500,Chris Columbus (filmmaker)
501,Mike Leigh
502,Christopher Cain
504,Martin Campbell
505,Rob Reiner
506,Sally Potter
507,Clint Eastwood
508,Jonathan Demme
509,Jane Campion
510,John Singleton
511,David S. Ward
513,Mel Smith
514,Ted Demme
515,James Ivory
516,Penny Marshall
517,Philip Kaufman
518,Alan Parker
519,Fred Dekker
520,Mel Brooks
521,Peter Medak
522,Geoffrey Wright
523,Victor Nuñez
527,Steven Spielberg
528,Michael Ritchie (film director)
529,Steven Zaillian
531,Agnieszka Holland
532,John Waters
533,Russell Mulcahy
534,Richard Attenborough
535,Robert Altman
536,Gillies MacKinnon
537,John Duigan
538,Fred Schepisi
