movieId,value
1,Alec Sokolow
1,Andrew Stanton
1,Joe Ranft
1,Joel Cohen (writer)
1,John Lasseter
1,Joss Whedon
1,Pete Docter
2,Chris Van Allsburg
2,Greg Taylor (author)
2,Jonathan Hensleigh
3,Mark Steven Johnson
4,Ronald Bass
4,Terry McMillan
5,Charles Shyer
5,Nancy Meyers
6,Michael Mann
7,Barbara Benedek
7,David Rayfiel
9,Gene Quintano
10,Bruce Feirstein
10,Jeffrey Caine
10,Michael France
11,Aaron Sorkin
12,Mel Brooks
12,Rudy De Luca
13,Roger S. H. Schulman
14,Christopher Wilkinson
14,Oliver Stone
15,Bruce A. Evans
15,Marc Norman
15,Robert King (writer)
16,Martin Scorsese
16,Nicholas Pileggi
17,Emma Thompson
18,Alexandre Rockwell
18,Allison Anders
18,Quentin Tarantino
18,Robert Rodriguez
19,Steve Oedekerk
20,David Loughery
20,Doug Richardson

21,Scott Frank
22,Ann Biderman
23,Brian Helgeland
23,The Wachowskis
24,Victor Salva
25,Mike Figgis
26,Oliver Parker
27,I. Marlene King
28,Nick Dear
31,Ronald Bass
34,Chris Noonan
34,George Miller (filmmaker)
36,Tim Robbins
39,Amy Heckerling
41,Ian McKellen
41,Richard Loncraine
45,Buck Henry
46,Jane Anderson
48,Burny Mattinson
48,Carl Binder
48,Chris Buck
48,Francis Glebas
48,Glen Keane
48,Joe Grant
48,Kaan Kalyon
48,Philip LaZebnik
48,Ralph Zondag
48,Susannah Grant
49,Patricia Rozema
52,Woody Allen
53,Gianni Amelio
54,Holly Goldberg Sloan
55,Barbara Turner (actress)
57,W. D. Richter
60,Melissa Mathison
61,Rick Jaffa and Amanda Silver
62,Patrick Sheane Duncan
63,Marlon Wayans
63,Shawn Wayans
65,Kip Koenig
66,Farhad Mann
69,DJ Pooh
69,Ice Cube
71,Charlie Fletcher
72,Noah Baumbach
74,Michael Goldenberg
75,Mark Steven Johnson
76,Dan O'Bannon
78,Sean Penn
79,Ted Tally
81,Scott Rosenberg
86,Todd Robinson (film director)
88,Fred Wolf (writer)
89,Patrick Sheane Duncan
92,Christopher Hampton
93,Charlie Murphy (actor)
93,Eddie Murphy
94,Scott Rosenberg
95,Graham Yost
96,Kenneth Branagh
100,Bo Goldman
100,Kenneth Lipper
100,Nicholas Pileggi
100,Paul Schrader
