feature_id,category,feature
0,actors,"""""""Weird Al"""" Yankovic"""
1,actors,"""Atsushi Watanabe (actor, born 1898)"""
2,actors,"""Billy """"Green"""" Bush"""
3,actors,"""Brad Johnson (actor, born 1959)"""
4,actors,"""Chin Han (actor, born 1969)"""
5,actors,"""Clifton Collins, Jr."""
6,actors,"""Curtis """"50 Cent"""" Jackson"""
7,actors,"""Damon Wayans, Jr."""
8,actors,"""Ed Begley, Jr."""
9,actors,"""Elisha Cook, Jr."""
10,actors,"""Freddie Prinze, Jr."""
11,actors,"""Gary """"Litefoot"""" Davis"""
12,actors,"""George """"Buck"""" Flower"""
13,actors,"""Harry Shum, Jr."""
14,actors,"""Ian Nelson (actor, born 1995)"""
15,actors,"""Jane Adams (actress, born 1965)"""
16,actors,"""Jason Davis (actor, born 1984)"""
17,actors,"""Jeff Richards (actor, born 1924)"""
18,actors,"""Jeremy Jordan (actor, born 1984)"""
19,actors,"""Jeremy Jordan (singer, born 1973)"""
20,actors,"""John Gallagher, Jr."""
21,actors,"""Kim Min-hee (actress, born 1982)"""
22,actors,"""Lon Chaney, Jr."""
23,actors,"""Marsha Hunt (actress, born 1946)"""
24,actors,"""Meghan, Duchess of Sussex"""
25,actors,"""Michael Anderson, Jr."""
26,actors,"""Nick Adams (actor, born 1931)"""
27,actors,"""Peyton List (actress, born 1998)"""
28,actors,"""Randall """"Tex"""" Cobb"""
29,actors,"""Richard Speight, Jr."""
30,actors,"""Robert Walker (actor, born 1918)"""
31,actors,"""Shōgo Suzuki (actor, born 1963)"""
32,actors,"""Steve """"Lips"""" Kudlow"""
33,actors,"""Timothy """"Speed"""" Levitch"""
34,actors,"""Tip """"T.I."""" Harris"""
35,actors,"""Troy """"Trombone Shorty"""" Andrews"""
36,actors,"""Victor Wong (actor, born 1927)"""
37,actors,"""Will Kemp (actor, born 1977)"""
38,actors,50 Cent
39,actors,A. J. Bowen
40,actors,A. J. Buckley
41,actors,A. J. Cook
42,actors,A. J. Langer
43,actors,A. Michael Baldwin
44,actors,A.J. Buckley
45,actors,AJ Bowen
46,actors,AJ Cook
