feature_id,category,feature
1,actor,"""Weird Al"" Yankovic"
2,actor,'"Atsushi Watanabe (actor, born 1898)"'
3,actor,"Billy ""Green"" Bush"
4,actor,'"Brad Johnson (actor, born 1959)"'
5,actor,'"Chin Han (actor, born 1969)"'
6,actor,'"Clifton Collins, Jr."'
7,actor,"Curtis ""50 Cent"" Jackson"
8,actor,'"Damon Wayans, Jr."'
9,actor,'"Ed Begley, Jr."'
10,actor,'"Elisha Cook, Jr."'
11,actor,'"Freddie Prinze, Jr."'
12,actor,"Gary ""Litefoot"" Davis"
13,actor,"George ""Buck"" Flower"
14,actor,'"Harry Shum, Jr."'
15,actor,'"Ian Nelson (actor, born 1995)"'
16,actor,'"Jane Adams (actress, born 1965)"'
17,actor,'"Jason Davis (actor, born 1984)"'
18,actor,"Jeff ""Swampy"" Marsh"
19,actor,'"Jeff Richards (actor, born 1924)"'
20,actor,'"Jeremy Jordan (actor, born 1984)"'
21,actor,'"Jeremy Jordan (singer, born 1973)"'
22,actor,'"John Gallagher, Jr."'
23,actor,'"Kim Min-hee (actress, born 1982)"'
24,actor,'"Lon Chaney, Jr."'
25,actor,'"Marsha Hunt (actress, born 1946)"'
26,actor,'"Meghan, Duchess of Sussex"'
27,actor,'"Michael Anderson, Jr."'
28,actor,'"Nick Adams (actor, born 1931)"'
29,actor,'"Peyton List (actress, born 1998)"'
30,actor,"Randall ""Tex"" Cobb"
31,actor,'"Richard Speight, Jr."'
32,actor,'"Robert Walker (actor, born 1918)"'
33,actor,'"Shōgo Suzuki (actor, born 1963)"'
34,actor,"Steve ""Lips"" Kudlow"
35,actor,"Timothy ""Speed"" Levitch"
36,actor,"Tip ""T.I."" Harris"
37,actor,"Troy ""Trombone Shorty"" Andrews"
38,actor,'"Victor Wong (actor, born 1927)"'
39,actor,'"Will Kemp (actor, born 1977)"'
40,actor,'"William Elliott (actor, born 1934)"'
41,actor,50 Cent
42,actor,A. J. Bowen
43,actor,A. J. Buckley
44,actor,A. J. Cook
45,actor,A. J. Langer
46,actor,A. Michael Baldwin
47,actor,A.J. Buckley
48,actor,AJ Bowen
49,actor,AJ Cook
50,actor,ASAP Rocky
51,actor,Aaliyah
52,actor,Aamir Khan
53,actor,Aaron Ashmore
54,actor,Aaron Burns
55,actor,Aaron Douglas (actor)
56,actor,Aaron Eckhart
57,actor,Aaron Himelstein
58,actor,Aaron Jeffery
59,actor,Aaron Kwok
60,actor,Aaron Murphy (actor)
61,actor,Aaron Paul
62,actor,Aaron Poole
63,actor,Aaron Rose
64,actor,Aaron Ruell
65,actor,Aaron Stanford
66,actor,Aaron Taylor-Johnson
67,actor,Aaron Tveit
68,actor,Aaron Yoo
69,actor,Aasif Mandvi
70,actor,Abbey Lee
71,actor,Abbie Cornish
72,actor,Abby Elliott
73,actor,Abby Ryder Fortson
74,actor,Abe Vigoda
75,actor,Abhin Galeya
76,actor,Abigail Breslin
77,actor,Abraham Attah
78,actor,Ace Frehley
79,actor,Ad-Rock
80,actor,Adam Arkin
81,actor,Adam Baldwin
82,actor,Adam Beach
83,actor,Adam Brody
84,actor,Adam Butcher
85,actor,Adam Campbell (actor)
86,actor,Adam Cooper (dancer)
87,actor,Adam DeVine
88,actor,Adam Driver
89,actor,Adam Garcia
90,actor,Adam Goldberg
91,actor,Adam Goldberg (actor)
92,actor,Adam Green (filmmaker)
93,actor,Adam Hann-Byrd
94,actor,Adam Kaufman (actor)
95,actor,Adam LaVorgna
96,actor,Adam Lamberg
97,actor,Adam Lambert
98,actor,Adam LeFevre
99,actor,Adam Levine
100,actor,Adam Pally
101,actor,Adam Pascal
102,actor,Adam Rayner
103,actor,Adam Rich
104,actor,Adam Roarke
105,actor,Adam Rodríguez
106,actor,Adam Sandler
107,actor,Adam Savage
108,actor,Adam Scott (actor)
109,actor,Adam Sevani
110,actor,Adam Storke
111,actor,Adam West
112,actor,Adam Wylie
113,actor,Adam Zolotin
114,actor,Adeel Akhtar
115,actor,Adelaide Kane
116,actor,Aden Gillett
117,actor,Aden Young
118,actor,Adepero Oduye
119,actor,Adewale Akinnuoye-Agbaje
120,actor,Adhir Kalyan
121,actor,Adil Hussain
122,actor,Adnan Siddiqui
123,actor,Adolfo Celi
124,actor,Adolph Caesar
125,actor,Adolphe Menjou
126,actor,Adrian Dunbar
127,actor,Adrian Grenier
128,actor,Adrian Lester
129,actor,Adrian McLoughlin
130,actor,Adrian Pasdar
131,actor,Adrian Pintea
132,actor,Adrian Rawlins
133,actor,Adrian Schiller
134,actor,Adrian Zmed
135,actor,Adriana Barraza
136,actor,Adriana Caselotti
137,actor,Adriana Xenides
138,actor,Adrianne Palicki
139,actor,Adriano Celentano
140,actor,Adriano Giannini
141,actor,Adrien Brody
142,actor,Adrienne Barbeau
143,actor,Adrienne Corri
144,actor,Adrienne King
145,actor,Adrienne Shelly
146,actor,Adrienne-Joi Johnson
147,actor,Adán Jodorowsky
148,actor,Aerosmith
149,actor,Affion Crockett
150,actor,Agnes Bruckner
151,actor,Agnes Moorehead
152,actor,Agneta Eckemyr
153,actor,Ahmad Khan Mahmoodzada
154,actor,Ahn Gil-kang
155,actor,Ahn Seo-hyun
156,actor,Ahn Sung-ki
157,actor,Ahna Capri
158,actor,'Ahna O''Reilly'
159,actor,Aida Turturro
160,actor,Aidan Gillen
161,actor,Aidan McArdle
162,actor,Aidan Quinn
163,actor,Aidan Turner
164,actor,Aileen Quinn
165,actor,Aileen Wuornos
166,actor,Aina Kusuda
167,actor,Air Buddy
168,actor,Aisha Tyler
169,actor,Aishwarya Rai
170,actor,Aislinn Derbez
171,actor,Aitana Sánchez-Gijón
172,actor,Ajay Naidu
173,actor,Aki Aleong
174,actor,Akiji Kobayashi
175,actor,Akim Tamiroff
176,actor,Akira Ishida
177,actor,Akira Takayama
178,actor,Akira Terao
179,actor,Akiva Schaffer
180,actor,Akon
181,actor,Aksel Hennie
182,actor,Akshay Kumar
183,actor,Al Ernest Garcia
184,actor,Al Franken
185,actor,Al Freeman Jr.
186,actor,Al Gore
187,actor,Al Jolson
188,actor,Al Leong
189,actor,Al Lettieri
190,actor,Al Lewis (actor)
191,actor,Al Pacino
192,actor,Al Roker
193,actor,Al Santos (actor)
194,actor,Al Waxman
195,actor,Alain Chabat
196,actor,Alain Cuny
197,actor,Alain Delon
198,actor,Alain Prost
199,actor,Alakina Mann
200,actor,Alan Alda
201,actor,Alan Arkin
202,actor,Alan Badel
203,actor,Alan Bates
204,actor,Alan Cox (actor)
205,actor,Alan Cumming
206,actor,Alan Curtis (American actor)
207,actor,Alan Fudge
208,actor,Alan Gelfant
209,actor,Alan Hale Jr.
210,actor,Alan Hale Sr.
211,actor,Alan Hewitt
212,actor,Alan Hopgood
213,actor,Alan King
214,actor,Alan Ladd
215,actor,Alan Marshal (actor)
216,actor,Alan Rachins
217,actor,Alan Rickman
218,actor,Alan Ritchson
219,actor,Alan Ruck
220,actor,Alan Scarfe
221,actor,Alan Tudyk
222,actor,Alan Young
223,actor,Alani Vasquez
224,actor,Alanis Morissette
225,actor,Alanna Ubach
226,actor,Alastair Sim
227,actor,Albert Austin
228,actor,Albert Basserman
229,actor,Albert Bassermann
230,actor,Albert Brooks
231,actor,Albert Dekker
232,actor,Albert Delpy
233,actor,Albert Dupontel
234,actor,Albert Finney
235,actor,Albert Hague
236,actor,Albert Hall (actor)
237,actor,Albert Sharpe
238,actor,Alberta Watson
239,actor,Alberto Ammann
240,actor,Alberto Lupo
241,actor,Alden Ehrenreich
242,actor,Aldis Hodge
243,actor,Aldo Ray
244,actor,Alec Baldwin
245,actor,Alec Guinness
246,actor,Alec Mango
247,actor,Alec McCowen
248,actor,Aleks Paunovic
249,actor,Aleksa Palladino
250,actor,Aleksandr Abdulov
251,actor,Aleksandr Baluev
252,actor,Aleksandr Yakovlevich Mikhailov
253,actor,Aleksandra Khokhlova
254,actor,Aleksei Serebryakov (actor)
255,actor,Aleksey Batalov
256,actor,Alessandro Gassman
257,actor,Alessandro Nivola
258,actor,Alex Abbad
259,actor,Alex Borstein
260,actor,Alex D. Linz
261,actor,Alex Diakun
262,actor,Alex Dimitriades
263,actor,Alex Désert
264,actor,Alex English
265,actor,Alex Esmail
266,actor,Alex Etel
267,actor,Alex Frost
268,actor,Alex Hyde-White
269,actor,Alex Jennings
270,actor,Alex Karras
271,actor,Alex Kendrick
272,actor,Alex Kingston
273,actor,Alex McKenna
274,actor,Alex Norton
275,actor,'Alex O''Loughlin'
276,actor,Alex Pettyfer
277,actor,Alex Reid (actress)
278,actor,Alex Rocco
279,actor,Alex Roe
280,actor,Alex Russell (actor)
281,actor,Alex Scott (actor)
282,actor,Alex Veadov
283,actor,Alex Vincent (actor)
284,actor,Alex Winter
285,actor,Alexa Davalos
286,actor,Alexa PenaVega
287,actor,Alexa Vega
288,actor,'Alexander D''Arcy'
289,actor,Alexander Davion
290,actor,Alexander Godunov
291,actor,Alexander Gould
292,actor,Alexander Hammid
293,actor,Alexander Kaidanovsky
294,actor,Alexander Ludwig
295,actor,Alexander Michaletos
296,actor,Alexander Polinsky
297,actor,Alexander Pollock
298,actor,Alexander Siddig
299,actor,Alexander Skarsgård
300,actor,Alexandra Breckenridge
301,actor,Alexandra Daddario
302,actor,Alexandra Holden
303,actor,Alexandra Jiménez
304,actor,Alexandra Maria Lara
305,actor,Alexandra Neldel
306,actor,Alexandra Paul
307,actor,Alexandra Powers
308,actor,Alexandra Roach
309,actor,Alexei Sayle
310,actor,Alexey Barabash
311,actor,Alexia Fast
312,actor,Alexia Landeau
313,actor,Alexie Gilmore
314,actor,Alexis Arquette
315,actor,Alexis Bledel
316,actor,Alexis Denisof
317,actor,Alexis Dziena
318,actor,Alexis Georgoulis
319,actor,Alexis Knapp
320,actor,Alexis Smith
321,actor,Alexis Zegerman
322,actor,Alexondra Lee
323,actor,Alf Humphreys
324,actor,Alfie Allen
325,actor,Alfie Bass
326,actor,Alfonso Arau
327,actor,Alfre Woodard
328,actor,Alfred Abel
329,actor,Alfred Burke
330,actor,Alfred Hitchcock
331,actor,Alfred Lutter
332,actor,Alfred Molina
333,actor,Ali Hillis
334,actor,Ali Larter
335,actor,Ali MacGraw
336,actor,Ali Suliman
337,actor,Ali Wentworth
338,actor,Alia Shawkat
339,actor,Alice Brady
340,actor,Alice Braga
341,actor,Alice Cooper
342,actor,Alice Coulthard
343,actor,Alice Englert
344,actor,Alice Eve
345,actor,Alice Garner
346,actor,Alice Ghostley
347,actor,Alice Greczyn
348,actor,Alice Krige
349,actor,Alice Lowe
350,actor,Alice Playten
351,actor,Alicia Fulford-Wierzbicki
352,actor,Alicia Keys
353,actor,Alicia Silverstone
354,actor,Alicia Vikander
355,actor,Alicia Witt
356,actor,Alida Valli
357,actor,Alighiero Noschese
358,actor,Aline Kominsky-Crumb
359,actor,Aline MacMahon
360,actor,Alisa Freindlich
361,actor,Alisan Porter
362,actor,Alison Brie
363,actor,Alison Doody
364,actor,Alison Eastwood
365,actor,Alison Elliott
366,actor,Alison La Placa
367,actor,Alison Lohman
368,actor,Alison Pill
369,actor,Alison Routledge
370,actor,Alison Skipworth
371,actor,Alison Steadman
372,actor,Alison Sudol
373,actor,Alistair Browning
374,actor,Allan Arbus
375,actor,Allan Corduner
376,actor,Allan F. Nicholls
377,actor,Allan Jones (actor)
378,actor,Allan Rich
379,actor,Allen Covert
380,actor,Allen Garfield
381,actor,Allen Leech
382,actor,Allen Payne
383,actor,Allison Hayes
384,actor,Allison Janney
385,actor,Allison Mack
386,actor,Allison Rutledge-Parisi
387,actor,Allison Smith (actress)
388,actor,Allison Tolman
389,actor,Allison Williams (actress)
390,actor,Ally Sheedy
391,actor,Ally Walker
392,actor,Allyce Beasley
393,actor,Allyn Ann McLerie
394,actor,Alon Abutbul
395,actor,Alondra Hidalgo
396,actor,Alphonsia Emmanuel
397,actor,Altovise Davis
398,actor,Alun Armstrong
399,actor,Alun Armstrong (actor)
400,actor,Alva Rogers
401,actor,Alvy Moore
402,actor,Aly Michalka
403,actor,Alycia Delmore
404,actor,Alysia Reiner
405,actor,Alyson Court
406,actor,Alyson Hannigan
407,actor,Alyson Reed
408,actor,Alyson Stoner
409,actor,Alyssa Milano
410,actor,Amanda Bearse
411,actor,Amanda Bynes
412,actor,Amanda Crew
413,actor,Amanda Detmer
414,actor,Amanda Donohoe
415,actor,Amanda Noar
416,actor,Amanda Peet
417,actor,Amanda Peterson
418,actor,Amanda Plummer
419,actor,Amanda Redman
420,actor,Amanda Righetti
421,actor,Amanda Root
422,actor,Amanda Sandrelli
423,actor,Amanda Schull
424,actor,Amanda Seyfried
425,actor,Amanda Tapping
426,actor,Amanda Wyss
427,actor,Amanda de Cadenet
428,actor,Amandla Stenberg
429,actor,Amara Karan
430,actor,Amaury Nolasco
431,actor,Amber Benson
432,actor,Amber Heard
433,actor,Amber Rose Revah
434,actor,Amber Sainsbury
435,actor,Amber Smith
436,actor,Amber Tamblyn
437,actor,Amber Valletta
438,actor,Ambyr Childers
439,actor,Amelia Cooke
440,actor,Amelia Heinle
441,actor,Amelia Warner
442,actor,America Ferrera
443,actor,America Olivo
444,actor,Amerie
445,actor,Ami Dolenz
446,actor,Amir Bar-Lev
447,actor,Amira Casar
448,actor,Amitabh Bachchan
449,actor,Amr Waked
450,actor,Amrish Puri
451,actor,Amy Acker
452,actor,Amy Adams
453,actor,Amy Brenneman
454,actor,Amy Green
455,actor,Amy Hathaway
456,actor,Amy Irving
457,actor,Amy Jo Johnson
458,actor,Amy Lalonde
459,actor,Amy Landecker
460,actor,Amy Locane
461,actor,Amy Madigan
462,actor,Amy Morton
463,actor,Amy Poehler
464,actor,Amy Robinson
465,actor,Amy Ryan
466,actor,Amy Schumer
467,actor,Amy Sedaris
468,actor,Amy Seimetz
469,actor,Amy Shiels
470,actor,Amy Smart
471,actor,Amy Spanger
472,actor,Amy Steel
473,actor,Amy Winehouse
474,actor,Amy Yasbeck
475,actor,Ana Gasteyer
476,actor,Ana Ofelia Murguía
477,actor,Ana de Armas
478,actor,Anastasia Hille
479,actor,Anastasiya Vertinskaya
480,actor,Anatoliy Beliy
481,actor,Anatoly Solonitsyn
482,actor,Anders Holm
483,actor,Andie MacDowell
484,actor,Andra Akers
485,actor,Andras Jones
486,actor,Andre Benjamin
487,actor,Andre Braugher
488,actor,Andre Gower
489,actor,Andre Gregory
490,actor,Andre Stojka
491,actor,Andre Tricoteux
492,actor,Andrea Bowen
493,actor,Andrea Corr
494,actor,Andrea Duro
495,actor,Andrea Martin
496,actor,Andrea Navedo
497,actor,Andrea Riseborough
498,actor,Andrea Roth
499,actor,Andrea Thompson
500,actor,Andreas Cahling
501,actor,Andreas Katsulas
502,actor,Andrei Arlovski
503,actor,Andrei Mironov (actor)
504,actor,Andrew Dice Clay
505,actor,Andrew Divoff
506,actor,Andrew Garfield
507,actor,Andrew Havill
508,actor,Andrew Howard
509,actor,Andrew Keegan
510,actor,Andrew Keir
511,actor,Andrew Knott
512,actor,Andrew Lauer
513,actor,Andrew Lawrence (actor)
514,actor,Andrew Lowery
515,actor,Andrew McCarthy
516,actor,Andrew Miller (actor)
517,actor,Andrew N. Robertson
518,actor,Andrew Parks
519,actor,Andrew Robinson (actor)
520,actor,Andrew Scott (actor)
521,actor,Andrew Shim
522,actor,Andrew Simpson (actor)
523,actor,Andrew Stevens
524,actor,Andrew Strong
525,actor,Andrey Smolyakov
526,actor,André 3000
527,actor,André Benjamin
528,actor,André Dussollier
529,actor,André Eglevsky
530,actor,André Hennicke
531,actor,André Holland
532,actor,André Morell
533,actor,André the Giant
534,actor,Andréa Ferréol
535,actor,Andy Bichlbaum
536,actor,Andy Comeau
537,actor,Andy Devine
538,actor,Andy Dick
539,actor,Andy Garcia
540,actor,Andy García
541,actor,Andy Goldsworthy
542,actor,Andy Griffith
543,actor,Andy Merrill
544,actor,Andy Nyman
545,actor,Andy Richter
546,actor,Andy Romano
547,actor,Andy Samberg
548,actor,Andy Serkis
549,actor,Andy Walken
550,actor,Anessa Ramsey
551,actor,Aneta Corsaut
552,actor,Aneurin Barnard
553,actor,Angela Bassett
554,actor,Angela Bettis
555,actor,Angela Cartwright
556,actor,Angela Featherstone
557,actor,Angela Goethals
558,actor,Angela Lansbury
559,actor,Angela Lindvall
560,actor,Angela Sarafyan
561,actor,Angela Scoular
562,actor,Angelababy
563,actor,Angeliki Papoulia
564,actor,Angelina Jolie
565,actor,Angeline Ball
566,actor,Angie Dickinson
567,actor,Angie Harmon
568,actor,Angie Xtravaganza
569,actor,Angourie Rice
570,actor,Angus MacLane
571,actor,Angus Macfadyen
572,actor,Angus Sampson
573,actor,Angus Scrimm
574,actor,Angus T. Jones
575,actor,Angus Wright (actor)
576,actor,Anh Duong
577,actor,Ania Pieroni
578,actor,Anika Noni Rose
579,actor,Anil Kapoor
580,actor,Anita Ekberg
581,actor,Anita Garvin
582,actor,Anita Kanwar
583,actor,Anita Louise
584,actor,Anita Morris
585,actor,Anita Page
586,actor,Anita Pallenberg
587,actor,Anitra Ford
588,actor,Anjanette Comer
589,actor,Anjelica Huston
590,actor,Ann Bell
591,actor,Ann Blyth
592,actor,Ann Doran
593,actor,Ann Dowd
594,actor,Ann Dusenberry
595,actor,Ann Dvorak
596,actor,Ann Jillian
597,actor,Ann Lancaster
598,actor,Ann Magnuson
599,actor,Ann Miller
600,actor,Ann Reinking
601,actor,Ann Robinson
602,actor,Ann Rutherford
603,actor,Ann Savage (actress)
604,actor,Ann Sheridan
605,actor,Ann Smyrner
606,actor,Ann Sothern
607,actor,Ann Todd
608,actor,Ann Turkel
609,actor,Ann Wedgeworth
610,actor,Ann-Margret
611,actor,Ann-Marie MacDonald
612,actor,Anna Camp
613,actor,Anna Castillo
614,actor,Anna Chancellor
615,actor,Anna Chlumsky
616,actor,Anna Deavere Smith
617,actor,Anna Faris
618,actor,Anna Friel
619,actor,Anna Hutchison
620,actor,Anna Katharina Schwabroh
621,actor,Anna Kendrick
622,actor,Anna Lee
623,actor,Anna Maria Horsford
624,actor,Anna Massey
625,actor,Anna May Wong
626,actor,Anna Nakagawa
627,actor,Anna Paquin
628,actor,Anna Popplewell
629,actor,Anna Quayle
630,actor,Anna Thomson
631,actor,Anna Wing
632,actor,AnnaLynne McCord
633,actor,AnnaSophia Robb
634,actor,Annabella Piugattuk
635,actor,Annabella Sciorra
636,actor,Annabelle Wallis
637,actor,Annabeth Gish
638,actor,Annaleigh Ashford
639,actor,Annalise Basso
640,actor,Anne Archer
641,actor,Anne Bancroft
